customerID,days_since_last_purchase,total_spent,support_tickets,website_visits_last_month,subscription_tier,payment_method,country,device_type,Churn
ECOMM-48485,6.0,3041.85,4,48,Basic,Crypto,USA,Mobile,No
ECOMM-97961,249.0,711.77,5,42,Free,PayPal,Canada,Mobile,Yes
ECOMM-80653,216.0,2406.59,4,11,Free,Apple Pay,USA,Desktop,No
ECOMM-78497,20.0,1397.45,3,26,Free,Credit Card,Australia,Tablet,No
ECOMM-10333,331.0,2744.08,2,14,Free,PayPal,USA,Mobile,Yes
ECOMM-76481,81.0,4054.36,7,30,Premium,Crypto,USA,Tablet,Yes
ECOMM-19955,93.0,3391.93,5,49,Free,Credit Card,USA,Tablet,Yes
ECOMM-47638,68.0,3908.98,8,40,Free,Apple Pay,UK,Desktop,No
ECOMM-90088,122.0,2430.53,9,5,Basic,Apple Pay,Germany,Tablet,No
ECOMM-63240,65.0,3803.28,1,49,Premium,PayPal,UK,Tablet,No
ECOMM-72697,127.0,3817.56,7,43,Free,PayPal,Canada,Mobile,No
ECOMM-84222,296.0,2536.43,2,13,Free,Credit Card,UK,Mobile,No
ECOMM-48329,165.0,1735.91,1,34,Basic,Crypto,Germany,Mobile,No
ECOMM-13674,337.0,1951.83,6,24,Free,Apple Pay,Canada,Desktop,Yes
ECOMM-13346,164.0,2361.35,1,46,Premium,Apple Pay,UK,Mobile,No
ECOMM-21664,101.0,3485.96,2,18,Premium,Credit Card,Australia,Tablet,No
ECOMM-86925,288.0,3014.06,5,3,Free,PayPal,USA,Desktop,No
ECOMM-87803,299.0,3784.29,5,42,Free,Apple Pay,Germany,Tablet,No
ECOMM-96709,314.0,4924.28,1,33,Free,PayPal,Australia,Tablet,No
ECOMM-20071,324.0,2930.05,2,29,Free,Credit Card,Australia,Tablet,No
ECOMM-44241,10.0,4857.65,1,13,Basic,Crypto,Canada,Tablet,No
ECOMM-20636,187.0,4295.9,2,0,Free,Crypto,Australia,Tablet,Yes
ECOMM-78064,98.0,3815.26,4,31,Basic,Crypto,Canada,Mobile,No
ECOMM-50128,90.0,4081.04,4,35,Free,PayPal,Australia,Mobile,No
ECOMM-50600,88.0,392.8,3,17,Basic,PayPal,Canada,Tablet,No
ECOMM-22767,301.0,1127.58,4,27,Basic,Apple Pay,UK,Desktop,No
ECOMM-75479,289.0,3815.23,6,15,Basic,Apple Pay,Canada,Tablet,Yes
ECOMM-91558,78.0,3000.85,5,40,Premium,PayPal,Australia,Tablet,No
ECOMM-29634,150.0,1014.79,4,2,Premium,Credit Card,Canada,Mobile,No
ECOMM-64264,270.0,3762.1,2,35,Premium,Credit Card,Germany,Mobile,No
ECOMM-46988,54.0,2177.93,7,44,Free,Crypto,Australia,Desktop,No
ECOMM-64680,230.0,1519.69,6,9,Basic,PayPal,USA,Tablet,No
ECOMM-50550,160.0,4810.77,2,0,Free,PayPal,Canada,Desktop,No
ECOMM-19740,338.0,3365.65,7,30,Free,PayPal,Germany,Tablet,No
ECOMM-72862,270.0,889.09,8,16,Free,PayPal,UK,Mobile,Yes
ECOMM-83079,85.0,1097.3,5,22,Basic,Credit Card,Germany,Mobile,No
ECOMM-86831,304.0,3805.5,0,39,Free,Apple Pay,USA,Desktop,No
ECOMM-11608,291.0,120.02,2,45,Free,Crypto,USA,Desktop,Yes
ECOMM-76348,78.0,4118.08,7,33,Free,Apple Pay,Canada,Tablet,Yes
ECOMM-41720,189.0,86.35,7,21,Basic,Apple Pay,Canada,Mobile,No
ECOMM-20660,290.0,2176.21,4,31,Free,PayPal,USA,Mobile,No
ECOMM-31286,85.0,4290.64,4,19,Free,Apple Pay,Germany,Desktop,No
